dispositive	date_log_in	time_log_in	date_log_out	time_log_out	datetime_log_in	datetime_log_out	time_pass	time_pass_hour	time_pass_minute	time_pass_second
Laptop	18/8/2020	09:04	18/8/2020	13:05	18/8/2020 09:04	18/8/2020 13:05	04:01	4,02	241,00	14460
Laptop	18/8/2020	14:03	18/8/2020	19:54	18/8/2020 14:03	18/8/2020 19:54	05:51	5,85	351,00	21060
Laptop	18/8/2020	20:10	18/8/2020	21:40	18/8/2020 20:10	18/8/2020 21:40	01:30	1,50	90,00	5400
Laptop	19/8/2020	09:24	19/8/2020	13:15	19/8/2020 09:24	19/8/2020 13:15	03:51	3,85	231,00	13860
Laptop	19/8/2020	14:25	19/8/2020	20:08	19/8/2020 14:25	19/8/2020 20:08	05:43	5,72	343,00	20580
Laptop	20/8/2020	08:57	20/8/2020	12:58	20/8/2020 08:57	20/8/2020 12:58	04:01	4,02	241,00	14460
Laptop	20/8/2020	13:58	20/8/2020	19:58	20/8/2020 13:58	20/8/2020 19:58	06:00	6,00	360,00	21600
Laptop	20/8/2020	20:12	20/8/2020	21:44	20/8/2020 20:12	20/8/2020 21:44	01:32	1,53	92,00	5520
Laptop	21/8/2020	10:28	21/8/2020	13:02	21/8/2020 10:28	21/8/2020 13:02	02:33	2,56	153,65	9219
Laptop	21/8/2020	14:23	21/8/2020	17:58	21/8/2020 14:23	21/8/2020 17:58	03:35	3,58	215,00	12900
Laptop	22/8/2020	17:07	22/8/2020	19:54	22/8/2020 17:07	22/8/2020 19:54	02:47	2,78	167,00	10020
Laptop	23/8/2020	16:14	23/8/2020	20:08	23/8/2020 16:14	23/8/2020 20:08	03:54	3,90	234,00	14040
Laptop	24/8/2020	09:15	24/8/2020	13:12	24/8/2020 09:15	24/8/2020 13:12	03:57	3,95	237,00	14220
Laptop	24/8/2020	14:00	24/8/2020	22:38	24/8/2020 14:00	24/8/2020 22:38	08:38	8,63	518,00	31080
Laptop	25/8/2020	20:50	25/8/2020	21:46	25/8/2020 20:50	25/8/2020 21:46	00:56	0,93	56,00	3360
Laptop	25/8/2020	08:59	25/8/2020	13:04	25/8/2020 08:59	25/8/2020 13:04	04:05	4,08	245,00	14700
Laptop	25/8/2020	13:58	25/8/2020	20:36	25/8/2020 13:58	25/8/2020 20:36	06:38	6,63	398,00	23880
Laptop	26/8/2020	09:21	26/8/2020	13:00	26/8/2020 09:21	26/8/2020 13:00	03:39	3,65	219,00	13140
Laptop	26/8/2020	13:55	26/8/2020	21:38	26/8/2020 13:55	26/8/2020 21:38	07:43	7,72	463,00	27780
Smart TV	17/8/2020	11:24	17/8/2020	17:29	17/8/2020 11:24	17/8/2020 17:29	06:04	6,07	364,25	21855
Smart TV	17/8/2020	21:37	17/8/2020	23:43	17/8/2020 21:37	17/8/2020 23:43	02:05	2,09	125,28	7517
Smart TV	18/8/2020	13:23	18/8/2020	14:01	18/8/2020 13:23	18/8/2020 14:01	00:38	0,63	38,00	2280
Smart TV	18/8/2020	22:17	18/8/2020	23:21	18/8/2020 22:17	18/8/2020 23:21	01:04	1,07	64,00	3840
Smart TV	19/8/2020	08:18	19/8/2020	08:59	19/8/2020 08:18	19/8/2020 08:59	00:41	0,68	41,00	2460
Smart TV	19/8/2020	13:42	19/8/2020	14:13	19/8/2020 13:42	19/8/2020 14:13	00:30	0,51	30,50	1830
Smart TV	19/8/2020	21:22	19/8/2020	23:04	19/8/2020 21:22	19/8/2020 23:04	01:42	1,70	102,00	6120
Smart TV	20/8/2020	13:11	20/8/2020	13:53	20/8/2020 13:11	20/8/2020 13:53	00:42	0,70	42,00	2520
Smart TV	20/8/2020	22:22	20/8/2020	23:46	20/8/2020 22:22	20/8/2020 23:46	01:24	1,40	84,00	5040
Smart TV	21/8/2020	08:32	21/8/2020	09:16	21/8/2020 08:32	21/8/2020 09:16	00:44	0,73	44,00	2640
Smart TV	21/8/2020	13:18	21/8/2020	14:15	21/8/2020 13:18	21/8/2020 14:15	00:57	0,95	57,00	3420
Smart TV	21/8/2020	22:42	21/8/2020	23:59	21/8/2020 22:42	21/8/2020 23:59	01:17	1,28	77,00	4620
Smart TV	22/8/2020	00:00	22/8/2020	00:44	22/8/2020 00:00	22/8/2020 00:44	00:44	0,73	44,00	2640
Smart TV	22/8/2020	10:32	22/8/2020	17:27	22/8/2020 10:32	22/8/2020 17:27	06:55	6,92	415,00	24900
Smart TV	22/8/2020	22:21	22/8/2020	23:59	22/8/2020 22:21	22/8/2020 23:59	01:38	1,63	98,00	5880
Smart TV	23/8/2020	00:00	23/8/2020	01:19	23/8/2020 00:00	23/8/2020 01:19	01:19	1,32	79,00	4740
Smart TV	23/8/2020	11:26	23/8/2020	12:03	23/8/2020 11:26	23/8/2020 12:03	00:37	0,62	37,00	2220
Smart TV	23/8/2020	13:42	23/8/2020	18:35	23/8/2020 13:42	23/8/2020 18:35	04:53	4,88	293,00	17580
Smart TV	23/8/2020	20:39	23/8/2020	23:38	23/8/2020 20:39	23/8/2020 23:38	02:59	2,98	179,00	10740
Smart TV	24/8/2020	08:23	24/8/2020	09:00	24/8/2020 08:23	24/8/2020 09:00	00:37	0,62	37,00	2220
Smart TV	24/8/2020	13:36	24/8/2020	13:58	24/8/2020 13:36	24/8/2020 13:58	00:22	0,37	22,00	1320
Smart TV	24/8/2020	21:44	24/8/2020	23:25	24/8/2020 21:44	24/8/2020 23:25	01:41	1,68	101,00	6060
Smart TV	25/8/2020	13:30	25/8/2020	13:58	25/8/2020 13:30	25/8/2020 13:58	00:28	0,47	28,00	1680
Smart TV	25/8/2020	22:48	25/8/2020	23:52	25/8/2020 22:48	25/8/2020 23:52	01:04	1,07	64,00	3840
Smart TV	26/8/2020	08:20	26/8/2020	08:56	26/8/2020 08:20	26/8/2020 08:56	00:36	0,60	36,00	2160
Smart TV	26/8/2020	13:01	26/8/2020	13:49	26/8/2020 13:01	26/8/2020 13:49	00:48	0,80	48,00	2880
